№ п/п;Реестровый №;Наименование юридического лица, которому имущество области передано в пользование;Почтовый адрес;Балансовая стоимость основных средств, тыс. руб.; Остаточная стоимость основных средств, тыс. руб.;Незавершенное строительство (размер затрат), тыс.руб;Материальные запасы, тыс.руб.;
150;3847;Муниципальное бюджетное учреждение "Социально-реабилитационный центр для несовершеннолетних "Росток";162603 г.Череповец, ул.Краснодонцев, 21;16732.083200000001;7611.3149800000001;;;
151;3848;Бюджетное учреждение "Комплексный центр социального обслуживания населения" Тарногского муниципального района Вологодской области;161560 с.Тарногский Городок, ул.Советская, 39;5510.8393900000001;2570.3183399999998;;;
152;3849;Муниципальное бюджетное учреждение "Усть-Кубинский комплексный центр социального обслуживания населения";161140 Усть-Кубинский р-н, с.Устье, ул.Октябрьская, 11;3741.62165;372.38602000000003;;;
153;3850;Муниципальное бюджетное учреждение "Центр социальной помощи семье и детям " Радуга";161140 Усть-Кубинский р-н, с.Устье, ул.Пролетарская, 13-а;1963.74802;633.03330000000005;;;
154;3852;Бюджетное  учреждение социального обслуживания Междуреченского муниципального района "Комплексный центр социального обслуживания населения";161050 Междуреченский р-н, с.Шуйское, ул.Малая Садовая, 1;1377.00621;400.26227;;;
155;3853;Бюджетное учреждение социального обслуживания Междуреченского муниципального района "Центр социальной помощи семье и детям";161050 Междуреченский р-н, с.Шуйское, ул.Советская, 14;2139.5660200000002;1004.74262;;;
156;3854;Бюджетное  учреждение социального обслуживания  Междуреченского муниципального района "Дом милосердия";161050 Междуреченский р-н, с.Шуйское, ул.Шапина, 6;13089.91491;4762.4357499999996;;;
157;3855;Бюджетное Учреждение социального обслуживания Кичменгско-Городецкого муниципального района "Комплексный центр социального обслуживания населения";161400 с.Кичменгский Городок, ул.Первомайская, 20;2627.7908700000003;567.81809999999996;;;
158;3856;Бюджетное Учреждение социального обслуживания Вологодской области Кичменгско-Городецкого муниципального района "Социальный приют для детей "Парус";161400 Кичменгско-Городецкий р-н, п.Находка, 7;3128.01298;874.17145999999991;;;
159;3861;Бюджетное учреждение социального обслуживания "Центр социальной помощи семье и детям";162390 г.Великий Устюг, ул.Красная, 51;3914.57944;1670.15309;;;
160;3864;Муниципальное бюджетное учреждение социального обслуживания Вожегодского муниципального района "Комплексный Центр социального обслуживания населения";162160 п.Вожега, пер.Октябрьский, 17;24921.769559999997;19422.398149999997;;;
161;3865;Бюджетное учреждение социального обслуживания Никольского муниципального района "Никольский центр социальной помощи семье и детям";161440 г.Никольск, ул.Советская, 92;5270.8987500000003;2684.7244700000001;;;
162;3866;Муниципальное образовательное учреждение для детей-сирот и детей, оставшихся без попечения родителей (законных представителей) "Детский дом №2";162603 г.Череповец, ул.Леднева, 11;2.2616999999999998;0;;;
163;3867;Муниципальное бюджетное образовательное учреждение для детей-сирот и детей, оставшихся без попечения родителей (законных представителей) "Специальный (коррекционный) детский дом №3 для детей с ограниченными возможностями здоровья";162612 г.Череповец, ул.Химиков, 20-а;3234.07996;536.81077000000005;;;
164;3869;Муниципальное бюджетное образовательное учреждение для детей-сирот и детей, оставшихся без попечения родителей (законных представителей) "Детский дом №8";162624 г.Череповец, ул.Командарма Белова, 37-а;13928.352779999999;6094.7521799999995;;;
165;3871;Муниципальное бюджетное образовательное учреждение для детей-сирот и детей, оставшихся без попечения родителей (законных представителей) "Детский дом";162602 г.Череповец, ул.Труда, 56;41475.677640000002;24785.903420000002;;;
166;3874;Бюджетное учреждение социального обслуживания Вытегорского муниципального района "Белоручейский дом-интернат для престарелых и инвалидов";162940 Вытегорский р-н, п.Депо, ул.Труда, 26-а;1099.08887;36.703160000000004;;;
167;3877;Бюджетное учреждение социального обслуживания населения Вытегорского муниципального района Вологодской области Социально-реабилитационный центр для несовершеннолетних "Семья";162900 г.Вытегра, ул.Луначарского, 53;3501.7459900000003;2555.9255099999996;;;
168;3882;Муниципальное бюджетное образовательное учреждение для детей-сирот и детей, оставшихся без попечения родителей, Череповецкого муниципального района "Судский детский дом";162702 Череповецкий р-н, п.Суда, ул.Красная Звезда, 6;3663.4588399999998;99.377470000000002;;;
169;3884;Муниципальное бюджетное специальное (коррекционное) образовательное учреждение для обучающихся, воспитанников с ограниченными возможностями здоровья "Специальная (коррекционная) общеобразовательная школа-интернат I вида";162614 г.Череповец, ул.Вологодская, 48;15255.748119999998;2395.9422400000003;;;
170;3888;Муниципальное бюджетное образовательное учреждение "Верховажский детский дом";162300 Верховажский р-н, д.Наумиха, 25-а;2385.8825699999998;285.93040000000002;;;
171;3889;Муниципальное бюджетное образовательное учреждение для детей-сирот и детей, оставшихся без попечения родителей, Череповецкого муниципального района "Кривецкий детский дом";162673 Череповецкий р-н, п.Кривец, ул.Заря Коммунизма, 40;3780.38348;1591.32104;;;
172;3890;Бюджетное учреждение социального обслуживания "Социально-реабилитационный центр для несовершеннолетних "Солнышко" Сямженского муниципального района;162220 Сямженский р-н, д.Ногинская, ул. им.Поспелова, 9;14536.612880000001;10485.40173;;;
173;3896;Бюджетное учреждение социального обслуживания "Комплексный центр социального обслуживания населения" Сямженского муниципального района;162220 Сямженский р-н, д.Ногинская, ул.им.Поспелова, 3;6773.1224900000007;4437.9959600000002;;;
174;3898;Муниципальное бюджетное учреждение социального обслуживания Белозерского муниципального района "Центр социальной помощи семье и детям";161200 г.Белозерск, Советский пр-кт, 70;521.71708999999998;15.3;;;
