№ п/п;Реестровый №;Наименование юридического лица, которому имущество области передано в пользование;Почтовый адрес;Балансовая стоимость основных средств, тыс. руб.; Остаточная стоимость основных средств, тыс. руб.;Незавершенное строительство (размер затрат), тыс.руб;Материальные запасы, тыс.руб.;
155;3853;Бюджетное учреждение социального обслуживания Междуреченского муниципального района "Центр социальной помощи семье и детям";161050 Междуреченский р-н, с.Шуйское, ул.Советская, 14;2139,56602;1004,74262;;;
156;3854;Бюджетное  учреждение социального обслуживания  Междуреченского муниципального района "Дом милосердия";161050 Междуреченский р-н, с.Шуйское, ул.Шапина, 6;13089,91491;4762,43575;;;
157;3855;Бюджетное Учреждение социального обслуживания Кичменгско-Городецкого муниципального района "Комплексный центр социального обслуживания населения";161400 с.Кичменгский Городок, ул.Первомайская, 20;2627,79087;567,8181;;;
158;3856;Бюджетное Учреждение социального обслуживания Вологодской области Кичменгско-Городецкого муниципального района "Социальный приют для детей "Парус";161400 Кичменгско-Городецкий р-н, п.Находка, 7;3128,01298;874,17146;;;
159;3861;Бюджетное учреждение социального обслуживания "Центр социальной помощи семье и детям";162390 г.Великий Устюг, ул.Красная, 51;3914,57944;1670,15309;;;
160;3864;Муниципальное бюджетное учреждение социального обслуживания Вожегодского муниципального района "Комплексный Центр социального обслуживания населения";162160 п.Вожега, пер.Октябрьский, 17;24921,76956;19422,39815;;;
161;3865;Бюджетное учреждение социального обслуживания Никольского муниципального района "Никольский центр социальной помощи семье и детям";161440 г.Никольск, ул.Советская, 92;5270,89875;2684,72447;;;
162;3866;Муниципальное образовательное учреждение для детей-сирот и детей, оставшихся без попечения родителей (законных представителей) "Детский дом №2";162603 г.Череповец, ул.Леднева, 11;2,2617;0;;;
163;3867;Муниципальное бюджетное образовательное учреждение для детей-сирот и детей, оставшихся без попечения родителей (законных представителей) "Специальный (коррекционный) детский дом №3 для детей с ограниченными возможностями здоровья";162612 г.Череповец, ул.Химиков, 20-а;3234,07996;536,81077;;;
164;3869;Муниципальное бюджетное образовательное учреждение для детей-сирот и детей, оставшихся без попечения родителей (законных представителей) "Детский дом №8";162624 г.Череповец, ул.Командарма Белова, 37-а;13928,35278;6094,75218;;;
165;3871;Муниципальное бюджетное образовательное учреждение для детей-сирот и детей, оставшихся без попечения родителей (законных представителей) "Детский дом";162602 г.Череповец, ул.Труда, 56;41475,67764;24785,90342;;;
166;3874;Бюджетное учреждение социального обслуживания Вытегорского муниципального района "Белоручейский дом-интернат для престарелых и инвалидов";162940 Вытегорский р-н, п.Депо, ул.Труда, 26-а;1099,08887;36,70316;;;
167;3877;Бюджетное учреждение социального обслуживания населения Вытегорского муниципального района Вологодской области Социально-реабилитационный центр для несовершеннолетних "Семья";162900 г.Вытегра, ул.Луначарского, 53;3501,74599;2555,92551;;;
168;3882;Муниципальное бюджетное образовательное учреждение для детей-сирот и детей, оставшихся без попечения родителей, Череповецкого муниципального района "Судский детский дом";162702 Череповецкий р-н, п.Суда, ул.Красная Звезда, 6;3663,45884;99,37747;;;
169;3884;Муниципальное бюджетное специальное (коррекционное) образовательное учреждение для обучающихся, воспитанников с ограниченными возможностями здоровья "Специальная (коррекционная) общеобразовательная школа-интернат I вида";162614 г.Череповец, ул.Вологодская, 48;15255,74812;2395,94224;;;
170;3888;Муниципальное бюджетное образовательное учреждение "Верховажский детский дом";162300 Верховажский р-н, д.Наумиха, 25-а;2385,88257;285,9304;;;
171;3889;Муниципальное бюджетное образовательное учреждение для детей-сирот и детей, оставшихся без попечения родителей, Череповецкого муниципального района "Кривецкий детский дом";162673 Череповецкий р-н, п.Кривец, ул.Заря Коммунизма, 40;3780,38348;1591,32104;;;
172;3890;Бюджетное учреждение социального обслуживания "Социально-реабилитационный центр для несовершеннолетних "Солнышко" Сямженского муниципального района;162220 Сямженский р-н, д.Ногинская, ул. им.Поспелова, 9;14536,61288;10485,40173;;;
173;3896;Бюджетное учреждение социального обслуживания "Комплексный центр социального обслуживания населения" Сямженского муниципального района;162220 Сямженский р-н, д.Ногинская, ул.им.Поспелова, 3;6773,12249;4437,99596;;;
174;3898;Муниципальное бюджетное учреждение социального обслуживания Белозерского муниципального района "Центр социальной помощи семье и детям";161200 г.Белозерск, Советский пр-кт, 70;521,71709;15,3;;;
