№ п/п;Реестровый №;Наименование юридического лица, за которым закреплено имущество области ;Балансовая стоимость основных средств, тыс. руб.;Остаточная стоимость основных средств, тыс. руб;Незавершенное строительство (размер затрат), тыс.руб.;Материальные запасы, тыс.руб.;Долгосрочные финансовые вложения, тыс.руб.;Нематериальные активы, тыс.руб.;Иные активы, тыс.руб.;
144;3615;Бюджетное учреждение здравоохранения Вологодской области "Череповецкая детская городская поликлиника №3";153407,04105;132074,42094;;2260,13984;;;-129158,46072;
145;3616;Бюджетное учреждение здравоохранения Вологодской области "Череповецкая детская городская поликлиника №5";8852,88733;3621,61758;;1533,33382;;;-2715,572;
146;3617;Бюджетное учреждение здравоохранения Вологодской области "Череповецкая стоматологическая поликлиника №2";34705,43531;16632,60289;;1196,1401;;;;
147;3618;Бюджетное учреждение здравоохранения Вологодской области "Череповецкая городская поликлиника №1";430938,94217;356890,04274;;3748,19931;;;;
148;3619;Бюджетное учреждение здравоохранения Вологодской области "Череповецкая станция скорой медицинской помощи";53111,9693;19887,06368;;34900,07997;;;-17114,98664;
149;3620;Бюджетное учреждение здравоохранения Вологодской области "Череповецкая детская стоматологическая поликлиника";18816,73731;1340,79777;;778,75828;;;-207,53116;
150;3621;Бюджетное учреждение здравоохранения Вологодской области "Череповецкая городская поликлиника №7";67000,91847;39905,90208;;3227,7535;;;13489,96301;
151;3622;Бюджетное учреждение здравоохранения Вологодской области "Череповецкая городская поликлиника №2";56695,48096;13562,55161;;3356,57389;;;125,82427;
152;3623;Бюджетное учреждение здравоохранения Вологодской области "Вологодская детская городская поликлиника №3";29383,10537;19292,01745;;1692,19948;;;-15157,24329;
153;3624;Бюджетное учреждение здравоохранения "Череповецкая городская поликлиника №4";0;0;;0,27;;;;
154;3625;Бюджетное учреждение здравоохранения Вологодской области "Череповецкая детская городская поликлиника №2";27308,51108;2145,60343;;2864,50182;;;1055,22183;
155;3626;Бюджетное учреждение здравоохранения Вологодской области "Череповецкая детская городская поликлиника №4";44928,01392;20002,19107;;2251,18848;;;-16819,49154;
156;3627;Бюджетное учреждение здравоохранения Вологодской области "Череповецкий городской родильный дом";3129,27896;3129,27896;;315,81414;;;;
157;3628;Бюджетное учреждение здравоохранения Вологодской области "Череповецкая стоматологическая поликлиника №1";29949,81457;11994,73624;;2438,41037;;;-5659,64784;
158;3629;Бюджетное учреждение здравоохранения Вологодской области "Вологодская станция скорой медицинской помощи";87059,19876;46565,47287;;5855,74102;;;-44209,53645;
159;3630;Бюджетное учреждение здравоохранения Вологодской области "Вологодский центр восстановительной медицины и реабилитации";43597,27139;27672,55339;;3725,0616;;;-25182,8985;
160;3631;Бюджетное учреждение здравоохранения Вологодской области "Вологодская стоматологическая поликлиника №1";25988,90855;4119,3259;;1105,24175;;;6174,79944;
161;3632;Бюджетное учреждение здравоохранения Вологодской обасти "Череповецкий врачебно-физкультурный диспансер";5529,51234;162,07511;;77,67706;;;;
162;3633;Бюджетное учреждение здравоохранения Вологодской области "Красавинская районная больница №1";73136,02888;36554,202;;3122,49152;;;33459,33536;
163;3698;Бюджетное учреждение здравоохранения Вологодской области "Вологодский областной Центр по профилактике и борьбе со СПИД и инфекционными заболеваниями";29921,28535;4441,4457;;61156,27382;;;-3469,95291;
164;3851;Бюджетное учреждение здравоохранения Вологодской области "Вологодская областная инфекционная больница";71298,19177;35851,17401;659,175;18847,90681;;;-14575,31953;
165;3876;Бюджетное учреждение здравоохранения Вологодской области "Вологодский областной психоневрологический диспансер №2";10973,75778;860,24907;;195,18603;;;-747,84675;
166;3886;Бюджетное учреждение здравоохранения Вологодской области "Вологодский областной противотуберкулезный диспансер №2";92237,01528;13736,46387;;9300,97045;;;-12467,0161;
167;3891;Бюджетное учреждение здравоохранения Вологодской области "Вологодский областной кожно-венерологический диспансер №2";36121,16288;15531,30522;;1117;;;2241,04321;
168;3893;Бюджетное учреждение здравоохранения Вологодской области "Вологодский областной психоневрологический диспансер №1";226483,37772;60604,71991;;3860,12782;;;1224,17949;
169;3904;Бюджетное учреждение здравоохранения Вологодской области "Вологодский областной наркологический диспансер №2";15029,05041;2480,90002;;2307,27794;;;1437,42882;
170;3912;Бюджетное учреждение здравоохранения "Великоустюгская центральная районная больница";372921,09819;173074,42948;;33379,07888;;;-136821,31053;
171;3974;Бюджетное учреждение здравоохранения Вологодской области "Вологодский областной госпиталь для ветеранов войн";124651,72566;62144,79129;;3484,99429;;;-49137,62441;
172;4087;Государственное учреждение Территориальный фонд обязательного медицинского страхования Вологодской области;15040,33874;524,20991;;362,27282;;;;
173;4242;Бюджетное учреждение здравоохранения Вологодской области "Вологодская областная психиатрическая больница";220287,73444;76052,0239;;16410,66867;20,5;;27334,17223;
174;4243;Бюджетное учреждение здравоохранения Вологодской области "Вологодская областная офтальмологическая больница";121195,13354;68505,68138;;9063,31498;;;-51646,70934;
175;4244;Бюджетное учреждение здравоохранения Вологодской области "Вологодская областная бальнеологическая лечебница им.В.В.Лебедева";17970,81298;834,24319;9805,1;407,1367;;;-245,42099;
176;4250;Бюджетное учреждение здравоохранения Вологодской области "Вологодская областная детская больница";4065076,48629;3808763,735;;3161,5986;;;5534,31658;
177;4252;Бюджетное учреждение здравоохранения Вологодской области "Бюро судебно-медицинской экспертизы";30636,66624;13506,38859;;181,21773;;;-13145,23699;
178;4254;Бюджетное учреждение здравоохранения Вологодской области "Вологодский областной онкологический диспансер";862242,61876;480459,31415;;34174,00033;;;-402245,66767;
